Filename	Category Code	Column Number	Data Label	Data Label Source	Control Vocab Cd
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Promotor_methylation_(DNA)	17	PHACTR3		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Promotor_methylation_(DNA)	18	WRN		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Copy_number_aberrations_(DNA)	19	MPLA-gain-P146		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Copy_number_aberrations_(DNA)	20	MPLA-gain-P146		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Copy_number_aberrations_(DNA)	21	MPLA-gain-P146		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Copy_number_aberrations_(DNA)	22	MPLA-loss-X006		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Copy_number_aberrations_(DNA)	23	MPLA-loss-X006		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Copy_number_aberrations_(DNA)	24	MPLA-loss-X006		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+AURKA_(Ct-ratio)+HCT116	25	MLH1_0-2_px+22		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+AURKA_(Ct-ratio)+HCT116	26	MLH1_0-2+AURKA_px+20		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+AURKA_(Ct-ratio)+HCT116	27	MLH1_0-2+AURKA_px+22		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+AURKA_(Ct-ratio)+HCT116	28	MLH1_1-2_px+22		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+AURKA_(Ct-ratio)+HCT116	29	MLH1_1-2+AURKA_px+20		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+AURKA_(Ct-ratio)+HCT116	30	MLH1_1-2+AURKA_px+22		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	31	pCMV6-GFP_p130		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	32	pCMV6-GFP_p131		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	33	TPX2-blunt_p130		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	34	TPX2-blunt_p131		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	35	TPX2-blunt_p132		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	36	TPX2-GFP_p130		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	37	TPX2-GFP_p131		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	38	TPX2-GFP_p132		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	39	TPX2-MCS_p130		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	40	TPX2-MCS_p131		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	41	Untreated_p129		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	42	Untreated_p130		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	43	Untreated_p132		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	44	MLH1_0-2+AURKA_px+14		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	45	MLH1_0-2+AURKA_px+17		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	46	MLH1_0-2+AURKA_px+24		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	47	MLH1_0-2+AURKA_px+27		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	48	MLH1_1-2+AURKA_px+14		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	49	MLH1_1-2+AURKA_px+17		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	50	MLH1_1-2+AURKA_px+27		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	51	MLH1_1-2+AURKA_pCMV6-GFP_px+24		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	52	MLH1_1-2+AURKA_pCMV6-GFP_px+25		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	53	MLH1_1-2+AURKA_TPX2-blunt_px+24		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	54	MLH1_1-2+AURKA_TPX2-blunt_px+25		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	55	MLH1_1-2+AURKA_TPX2-GFP_px+24		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	56	MLH1_1-2+AURKA_TPX2-GFP_px+25		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	57	MLH1_1-2+AURKA_TPX2-MCS_px+24		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	58	MLH1_1-2+AURKA_TPX2-MCS_px+25		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	59	MLH1_1-2+AURKA_px+24		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	60	and_AURKA_px+88		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Expression_(mRNA)+TPX2_(Ct-ratio)+HCT116	61	and_AURKA_px+89		
Cell-line_clinical.txt	Characteristics	1	\	2	
Cell-line_clinical.txt	Subjects	1	SUBJ_ID		
Cell-line_clinical.txt	Characteristics	2	DATA_LABEL		
Cell-line_clinical.txt	Characteristics	3	Organism		
Cell-line_clinical.txt	Characteristics	4	Origin_tissue		
Cell-line_clinical.txt	Characteristics	5	Cell_type		
Cell-line_clinical.txt	Characteristics	6	Disease		
Cell-line_clinical.txt	Characteristics	7	Race		
Cell-line_clinical.txt	Characteristics	8	Age		
Cell-line_clinical.txt	Characteristics	9	Gender		
